Month,Year,Count
7,2014,1
10,2014,5
11,2014,14
12,2014,40
1,2015,23
2,2015,15
3,2015,40
4,2015,38
5,2015,20
6,2015,16
7,2015,30
8,2015,20
9,2015,26
10,2015,39
11,2015,24
12,2015,33
1,2016,30
2,2016,20
3,2016,51
4,2016,26
5,2016,32
6,2016,27
7,2016,17
8,2016,17
9,2016,28
10,2016,42
11,2016,20
12,2016,24
1,2017,48
2,2017,25
3,2017,35
4,2017,31
5,2017,29
6,2017,27
7,2017,21
8,2017,23
9,2017,14
10,2017,17
11,2017,23
12,2017,25
1,2018,29
2,2018,20
3,2018,20
4,2018,23
5,2018,23
6,2018,26
7,2018,20
8,2018,40
9,2018,48
10,2018,18
11,2018,41
12,2018,21
1,2019,24
2,2019,33
3,2019,46
4,2019,34
5,2019,41
6,2019,30
7,2019,44
8,2019,60
9,2019,28
10,2019,53
11,2019,39
12,2019,53
1,2020,39
2,2020,46
3,2020,31
4,2020,4
